,Nombre de usuario,Usuario,Fecha,Texto,Sentimiento
2961,mujeresdelsur,@mujeresdelsur1,2021-02-05,"Ya me registre 
en el proceso de vacunación de adultos mayores.
#VacunaCOVID19  #Adultos Mayores #YoMeVacuno",1
2962,Héctor,@hector_flo70,2021-02-05,"yo tengo una duda, si no registro a mi madre una señora de más de 70 años, y cuando haya vacunas la llevo al centro de salud o al lugar que se acondicione para ello, ¿¿no la vacunarán?? #VacunaCOVID19 #YoMeVacuno",1
2963,Ciudadano #FuerzaPresidente,@someone01111111,2021-02-05,La página ya funciona con regularidad. A registrarse. #YoMeVacuno,1
2964,la_iguanasranas,@luioro_luisa,2021-02-05,Qué pasó banda por que se ponen sus moños con la #VacunaCOVID19 y hasta marca le buscan? si todos sabemos que les encanta comprar su ropa en la paca #YoMeVacuno,1
2965,Michael Acuña,@niviejonidiablo,2021-02-05,"#YoMeVacuno... cuando la U tenga estadio así como vamos. Otra del jamón del sandwich, los NiNi de la salud (ni hospital, ni APS).",1
2966,CARMEN GLORIA,@aup1938,2021-02-05,"Disculpen la ignorancia, pero cómo una persona puede acreditar que es paciente crónico ?  Por ejemplo un diabético que sólo se ha atendido en el sistema privado . Hay algún registro de ello ?  
@ministeriosalud
 #YoMeVacuno",1
2967,Play,@luchohks,2021-02-05,"#SpaceX #EdificioCorona 
#YoMeVacuno #Chile 
El perraje se vacuna y las autoridades observan y estudian sus posibles efectos.",1
2968,Daniel Villarreal,@danielbachatero,2021-02-05,"Veo como han naturalizado el hecho de que sea imprescindible colocarse una vacuna (sea cual sea), que no te hace inmune, ni te garantiza volver a contagiarte, para protegerte de un virus que millones se han curado sin necesidad de una vacuna.
#VacunaCOVID19 #YoMeVacuno",1
2969,Pablo Acosta,@jpacosta89,2021-02-05,Después de 84 años ya pude registrar a mis papás y en verdad es un alivio ya saber que pueden recibir la vacuna #MiVacuna #MiVacuna #YoMeVacuno,1
2970,Anita,@anitatopisima,2021-02-05,"Mi padre de 84 Años dice que como caballero se vacuna el 8 de febrero #YoMeVacuno lo amo con todo mi 
 mi madre se vacuna el martes obvio que como una señorita 
son tal para cual vamos que se puede ",1
2971,Leslie Ayala,@lesliona,2021-02-05,"En el futuro uno no se va a poder juntar, ni hacer comunidad con quienes se niegan a vacunarse. Así de simple se va a dividir la vida. Pienso ir pidiendo carné de vacunación por la laif. #YoMeVacuno ",1
2972,Kary,@kary_vo,2021-02-05,"Estoy tan orgullosa de mis compañeros de la salud. La salud pública es mucho más que el gobierno de turno, pero hay que reconocer que éste es el mayor logro de la presente administración. Vacunada y sin ninguna molestia 
#YoMeVacuno #VacunaCOVID19",1
2973,Glo,@cosasdeglo,2021-02-05,Mí mamá la primera de la familia en vacunarse contra el coronavirus. #YoMeVacuno,1
2974,Camila Ormeño Estay,@CamilaOrmeno,2021-02-05,"Hoy se vacunó mi mamá, la felicidad y tranquilidad que nos deja, es inconmensurable. No logran imaginar el miedo que hemos tenido, viviendo con una persona crónica, que trabaja en el sistema de salud. #YoMeVacuno",1
2975,David Ampuero,@dampuerol,2021-02-05,"El patriarca Ampuero de 87 pepas listo con la #VacunaCOVID19 
#YoMeVacuno",1
2976,Anibal Rucci,@AnibalRucci,2021-02-05,"La única ideología que tienen las vacunas para inmunizar ante el COVID es cuidar la vida de uno y de la sociedad, cuando me toque el turno #YoMeVacuno",1
2977,Cayo Cornelio Tácito,@CayoCornelio,2021-02-05,"¿Qué prefiere?
#YoMeVacuno 
#NOSEAWEON
#NOCREAWEASSER INTUBADO
4,9 %
SER VACUNADO
95,1 %
81 votos
·
Resultados finales",1
2978,Karina MF,@karinamfi,2021-02-05,"2do día post vacuna (sinovac) y no tengo efectos adversos, no siento nada extraño 
 #YoMeVacuno",1
2979,Paulina,@AliciaM,2021-02-05,"El 
@cpsicologos
 anunció que nos toca vacuna a los psicólogos ahora, pero cada municipio está inventando sus propias reglas para decidir si te vacunan o no. Mucha arbitrariedad #YoMeVacuno",1
2980,Catalina,@KataAnto,2021-02-05,"Los q c vayan vacunando podrían entregar información importante:Se inflama el brazo? Sale1 granito amarillo así como en las
de niñez? Q enfermera/o tiene 
 +livianita? Cuántos días después de la inaculación se puede probar alguna cosita como cóctel 
? 
#YoMeVacuno #VacunaCOVID",1
2981,Javier López,@javierlopez2014,2021-02-05,No es el momento para caer en las trampas de la desinformación. Las vacunas son seguras y serán un paso decisivo para superar la pandemia por COVID19. #YoMeVacuno,1
2982,Alexfdez,@Alexfde39368945,2021-02-05,#YoMeVacuno Quiero preguntar: Que incidencias puede tener la vacuna en las personas que sufren de Lupus?,1
2983,Nolberto,@ngonzalezm,2021-02-05,Se que no tiene nada que ver con la #vacuna #COVID19 pero cada vez que veo al Ministro Paris me acuerdo de José Carlo y la querella por injurias y calumnias... #YoMeVacuno ,1
2984,Bela Morales Ferrer,@belamoralesf,2021-02-05,"Vacunada!!! 
 ahora, a seguir con todas las medidas! #YoMeVacuno",1
2985,Pablo Uneru JD(He/Him),@Yo_La_Tengo_,2021-02-05,"Cuanta alegría se ha visto en las personas que ya han recibido su vacuna. Risas, bailes, lágrimas, esperanza. 
Vamos carajo!!! 
 #yomevacuno #InYourFace #COVID19 #Chile",1
2986,Sun,@Sunshine_H_,2021-02-05,"Hoy hice un catrasto de los adultos mayores que tenian que vacunarse en mi calle y no tienen auto ni alguien que los lleve... Andaré de chofer toda la semana 
 #YoMeVacuno",1
2987,Pau,@politapazc,2021-02-05,#YoMeVacuno que se define como * Personal con funciones esenciales directa a la ciudadanía * ? Atención de supermercado por ejemplo ?,1
2988,Marisol Morales S.,@sulitamaria7,2021-02-05,Lo pondré una y mil veces #YoMeVacuno,1
2989,Cesar Muñoz,@CexarAntonio,2021-02-05,"Yo le doy “me gusta” o “like” en las redes a todos los que se han vacunado hasta el momento y lucen orgullosos su carnet de vacunación ! 
#YoMeVacuno",1
2990,Carolina,@CarolinaDenver,2021-02-05,"Mis abuelos, 97 años no pueden ir a vacunarse. Hoy no fueron, a ver mañana que pasa. #YoMeVacuno",1
2991,Javiera Carrasco,@javicarrasco,2021-02-05,1er dia post vacuna: tengo muuuuucho sueño y siento el brazo pesado. Todo bien #YoMeVacuno,1
2992,Fabi Troncoso #Constituyente #Distrito20,@fatroncoso,2021-02-05,"Ni Don Francisco ni el Dr Ugarte ni ningún “famosillo” tuvo mejor comunicación hacia población sobre importancia de vacunarse que personas mayores. Con alegria, seguridad y emoción han logrado convencer a much@s que aún estaban dudos@s. #VacunaCOVID19 #YoMeVacuno",1
2993,𝐆𝐞𝐫𝐚𝐥𝐭 𝐃𝐢 𝐑𝐢𝐯𝐢𝐚,@ElBrujo_29,2021-02-04,"Ya sabemos que se vacunaron, dejen de publicar el carnet Covid por favor!!!
#YoMeVacuno",1
2994,Vergara Tampe,@vergaratampe,2021-02-04,"Últimamente pocas cosas unen a todos los chilenos. El proceso de vacunación lo está haciendo, independiente de la política y las ideologías. Bien por eso.
#VacunaCOVID19
#YoMeVacuno",1
2995,FUNDACIÓN PARA LA INFANCIA,@aseinco1,2021-02-04,"Felicitaciones al Gobierno de 
Alcaldes y personal de Salud ...UN ÉXITO #YoMeVacuno 
Cuándo sé hacen bien las cosas 
GANA 
#trabajandoporlaInfancia",1
2996,Magdalena Alvarez,@magda_alvarez,2021-02-04,"Mas que chanta, 
@bacigalupe
 es un irresponsable que se ha dedicado a desinformar y a sembrar dudas. 
Ha atentado contra el bien común.
 #YoMeVacuno 
...más encima usa Stata y no R.",1
2997,Danilo Callumán,@danilocalluman,2021-02-04,"Hay que decir que la cancha de 
@ClubDepCobresal
 que está en medio del desierto le pega mil chirlitos a la de 
@coquimbounido
 que está bien fea. Mis respetos al canchero de los mineros.
#CoquimboCobresalxTNTSports #coquimbounido #cobresal #YoMeVacuno",1
2998,Paul Alonso,@paul892a,2021-02-04,"Franco Salinas de 
@BancadaAP
 (el peor partido), le pregunta a 
@VBermudezV
 @pcmperu
 por qué somos el último país en la región en recibir vacunas???
Oe rctm, te suena un tal Manuel Merino? Recuerdas lo qué pasó en Noviembre? #YoMeVacuno",1
2999,Ma Fca Maldonado W,@Marypanchi,2021-02-04,"Sigo sin entender por qué los profesores no están contemplados como prioritarios en la vacunación 
 #YoMeVacuno",1
3000,PanchaMoreno,@lagataPancha,2021-02-04,"Menos mal que mañana me vacuno #YoMeVacuno porque el internet de 
@movistar
 está como el hoyo!!! #5G",1
3001,Cote Osorio,@coteosoriog,2021-02-04,Donde estarán vacunando los fds en RM #YoMeVacuno ??,1
3002,Alejandra Philippi,@alejandraphi,2021-02-04,"#vacunacion  en CHILE : feliz y agradecida #YoMeVacuno !!! experiencia de años del PAI más buena planificación y logística de 
@ministeriosalud
 #APS #municipalidades 
#VacunasCOVID19 #vaccines",1
3003,Marisol Morales S.,@sulitamaria7,2021-02-04,"Feliz por el triunfo de la ciencia, tecnología e innovación #YoMeVacuno",1
3004,Arnaldo Fonseca,@lalofonseca,2021-02-04,"Hoy, muchos adultos no manejan ni entienden las redes sociales, por esto, se pide a los jóvenes AYUDAR A LOS ADULTOS en la información de los días y edades PARA LAS VACUNAS .#YoMeVacuno",1
3005,Michael Acuña,@niviejonidiablo,2021-02-04,"Una duda. Los funcionarios administrativos de los servicios de salud, que no trabajan en servicio clínico (hospital u otro) ni atienden público, están comprendidos dentro de los funcionarios de salud en la vacunación o tienen que esperar? 
@ministeriosalud
 #YoMeVacuno",1
3006,Catalina Pichara,@catypichara,2021-02-04,"La felicidad de saber que tus tres abuelos ya recibieron la primera dosis 
 #YoMeVacuno #VacunaCOVID19",1
3007,BMG,@GutieBmg,2021-02-04,"Y si para entrar a otro país te exigen estar vacunado contra el #covid? Así como otras, tendrán que ir a los vacunatorios a pagar por una.....  o cuantos estarán obligados a quedarse en Chilito? #Antofagasta #CoronaVac #YoMeVacuno",1
3008,Nilda,@Nildamartz,2021-02-04,"Recibí mi primera dosis de vacuna + feliz no puedo estar....
#YoMeVacuno muere virus ql",1
3009,*Miguel Ángel*,@migueltalka,2021-02-04,"En la casa de los abuelit@s vacunados el wifi 
anda más rápido?
Reporten novedades.
#YoMeVacuno 
#NosSiguenVacunando",1
3010,Felipe,@Feli_Muaddib,2021-02-04,"A los #profesores les redujeron bono y aguinaldo a más de la mitad. El nivel de estrés y gastos el año pasado fue mayor al normal y esta es su respuesta 
@Mineduc
 @raulfiguersa
 asibes facil llenarse la boca #COVID19 #Chile #profesores #coronavirus #YoMeVacuno",1
3011,Pachita,@pazitapaz,2021-02-04,"En #Talca se han lucido con la campaña #YoMeVacuno disponibilidad de locales, vacunación a domicilio a quienes no puedan o no quieran salir de sus casas,avisan de disponibilidad en locales a los otros grupos de edades programados  para que se acerquen,la idea es Vacunar yVacunar",1
3012,Betty Boo,@AndreitaCarola,2021-02-04,"- Queremos y necesitamos una vacuna ahora contra el virus!!! 
- Gran noticia:  Llego la vacuna contra el covid  !! 
-  Ahora No la queremos porque es muy nueva y tiene nanochip, y nos convertirán en zombie, y el capitalismo y blablabla..! 
Que wea quieren? 
#YoMeVacuno",1
3013,Pancho Krebs,@panchokrebs,2021-02-04,"Mi abuelo siempre me decía: el secreto para llegar a los 100 años es cuidarse mucho a los 99. 
#YoMeVacuno",1
3014,Maru,@megm_cl,2021-02-04,Si las personas que se han vacunado ayer y hoy fueran la mayoria en twitter sería otra cosa. #YoMeVacuno,1
3015,Patricio Castillo Ll,@DHENOC,2021-02-04,"Entre ayer y hoy, nuestras personas grandes (ya no hay cómo llamarles para no ""herir susceptibilidades"") nos dejan claro con sus ganas, años y sabiduría lo importante y fácil que es vacunarnos contra el #Covid_19. Para ell@s, a la mierda con las teorías conspirativas. #YoMeVacuno",1
3016,@fotografoencampana (Fernando Ramírez),@fotografoencampana (Fernando Ramírez),2021-02-04,"Propuesta : cuando nos toque vacunarnos, vamos todos con nuestra mejor pinta. #YoMeVacuno",1
3017,Fernandita,@FerLeguleya,2021-02-04,"Mi abuelito paterno vacunado 
 #YoMeVacuno",1
3018,María Jaraquemada,@majaraquemada,2021-02-04,No se si es el cansancio pre vacaciones pero veo el proceso de vacunación y me emociono caleta #YoMeVacuno,1
3019,Javier,@javiepser,2021-02-04,"Hoy como estudiante del área de la salud en práctica fui vacunado con la 1a dosis de la vacuna Sinovac, de acuerdo al plan de vacunación del gobierno.
Vacunarnos baja la circulación e impide la forma grave de la enfermedad. Vacunarnos salva vidas. Cuando puedas, hazlo
#YoMeVacuno",1
3020,Astrid Elena,@AloysiusLeopold,2021-02-04,"Hoy pensaba que me medio de todo lo que hemos vivido, tanto dolor y soledad, saber que ya se ha comenzado a vacunar en el mundo y acá es hermoso, un rayito de luz. Emociona.
Hoy mi hermana fue vacunada y la semana que viene mi madre. Y eso me hace feliz. Muy feliz.
#YoMeVacuno",1
3021,Luisana Herrera D,@LuisanitaHD,2021-02-04,"Hoy tuve la fortuna de vacunar a los adultos mayores acá en Chile, y no les puedo contar lo felices que estaban porque pronto iban a poder disfrutar de sus nietos.... Muchos abuelos tomándose foto de ese momento tan especial. #YoMeVacuno",1
3022,Lucas Chavez Grille,@lucasnicoch,2021-02-04,"Que alegría ver a miles de nuestros adultos mayores rebelándose contra toda esa campaña del terror, los antivacunas y políticos con vocación de minoría.

Se están vacunando y eso es lo único que importa. Por lo qué no pudieron y por todos nosotros. 

#YoMeVacuno",1
3023,mauricio monroy,@monrock,2021-02-04,Por fin.!!! mis dos abuelas ya vacunadas. Un día para estar feliz. Ahora que le toque a mis viejos y seguimos avanzando #YoMeVacuno (si Cobresal empata con Coquimbo haría aún mejor el día),1
3024,Fernando Veas,@fernandoveasg,2021-02-04,"Una duda:
Puede un centro de salud negar la vacuna a un interno de medicina (fase 1a según calendario), bajo el argumento de q solo vacunan a personal de salud de su centro? Ya sea CESFAM, hospital, etc. Si no puede, dnde se hace el reclamo? #VacunaCOVID19 #YoMeVacuno",1
3025,Coriolanus Snow,@cmandresc,2021-02-04,"Oye que heavy igual ser el Tens que tenga que ir a la casa de los Pinochet a vacunar a la vieja Lucia, el miedo que te torturen, te maten o desaparezcan 
 por qué eso hace esa gente, después se hacen los weones 
 #YoMeVacuno",1
3026,Sebastián Silva,@seba_silva,2021-02-04,La inyección es lo que vale. #YoMeVacuno,1
3027,PABLO ANDRÉS PALMA,@PalmaVega71,2021-02-04,"Oye a nadie se le ocurrió vacunar en los Autos pasando por un estacionamiento de mall, estadio, o similar !!! Los pobre viejos se están derritiendo como tan 
 miedo a contagios, las filas, ansiedad, Calor de 36 grados. #YoMeVacuno #Temuco #Araucania",1
3028,Javier Delgado V,@JavierDelgadoV,2021-02-04,"Hoy acompañé a un equipo de vacunación a la localidad rural de Batuco, Región del Maule.

29 vacunas colocadas de 29 posibles adultos mayores.

Vamos que se puede!!!

#YoMeVacuno",1
3029,Lidia MV,@LiidiaaMV17,2021-02-04,"Que hay vacunas para los alumnos en prácticas de la UCO 
#YoMeVacuno",1
3030,LaTota,@barbChilena,2021-02-04,18.731...no es un número....son chilenos muertos al día de hoy por COVID. #YoMeVacuno,1
3031,@PORDIOSER0 •̤̣̈̇,@PORDIOSER0 •̤̣̈̇,2021-02-04,"Una señora dijo “ayer les tocó a los adultos mayores vacunarse ahora nos toca a nosotros”
Ternura pura 
 
#YoMeVacuno",1
3032,ℂ𝕒𝕣𝕝𝕠𝕤 ℝ𝕋,@Rodriguez_VET,2021-02-04,"si quisiste ser como #Pirulete o #Palmatoria, entonces di #YoMeVacuno",1
3033,Visser,@Visser49628646,2021-02-04,"Digo yo que si te da inmunidad te da inmunidad! No sé para qué se vacuna la gente entonces. Para seguir usando mascarilla, no poder ir a donde y cuando te de la gana?
No sé macho! 
Yo solo me vacunaré cuando recupere mis libertades, me parece lógico 
 #YoMeVacuno",1
3034,Abimelec Jesus M,@2012_Abii,2021-02-04,A mi abuelito lo vacunaron y el 5g creo q es de VTR porque ahora camina super lento #YoMeVacuno,1
3035,Miguel Cordero Vega,@macordero,2021-02-04,"Las vacunas, junto al agua potable y el alcantarillado, modifican radicalmente el riesgo de enfermar. Universales y sin costo son importantes para reducir inequidades. Viva la ciencia que transforma el mundo para el bien de todes. #YoMeVacuno",1
3036,PanchaMoreno,@lagataPancha,2021-02-04,"Me molesta infinitamente tanto médico barsa atribuyéndose éxito de la vacunación, cuando el q sabe un poco tiene claro q el éxito del programa de inmunizaciones es por el trabajo de Enfermería (TENS y enfermeras) les cuesta tanto reconocer el trabajo del equipo! #yomevacuno",1
3037,𝕶𝖗𝖎𝖘 𝕾𝖈𝖍𝖜𝖊𝖓𝖐𝖊,@Xrizzzz,2021-02-04,"Pregunta seria:
¿Cuando se vacuna Piñera con la Sinovac?
Si 
@sebastianpinera
 aposto por esta  vacuna minimo ponga el brazo.
#YoMeVacuno 
#RenunciaPiñera 
#holachilelared 
#COVID19",1
3038,Iridio-192,@_isotopo_,2021-02-04,Mi novio recibió su primera dosis de la vacuna Sinovac. Qué alegría! #YoMeVacuno,1
3039,Nelson Lagos,@nalagoss,2021-02-04,"Chile profundo: 4a región, aridez, camino de tierra, el agua escasea, luz llegó hace poco. Hoy el vecino, +70 años, con enfermedades crónicas, volvía de vacunarse en Ovalle, nos dijo: #yomevacuno, si no afecto al resto y si muero es pq YO no lo resistí, no por la vacuna..",1
3040,Gabriel Escalona Vivas,@gaboescvi,2021-02-04,"Me emocioné más con la #VacunaCOVID19 que con el reencuentro de #backstreetboys. Ese nivel !!!
#YoMeVacuno 
#vacunacion",1
3041,Jorge P. Salgado,@i_m_nobody,2021-02-04,"Me llama mi Sra. Madre para contarme que pasaron del Cesfam a vacunarla 
 a domicilio con la #VacunaCOVID19 
Ningún problema. Le entregaron su Carnet de Vacunación y en 1 mes más vienen nuevamente a colocar la segunda dosis. 
 #YoMeVacuno",1
3042,Ro Villarroel,@ro_villarroel,2021-02-04,"Por fin! Mi abuelita de 93 años ya vacunada en San Felipe! 
 A seguir cuidándonos, apenas se pueda yo tb pondré el brazo 
 #YoMeVacuno",1
3043,Pablo Torrealba,@ptorrealbam,2021-02-04,"Alguien me puede ayudar por favor. Si ya recibí las 2 dosis de la vacuna contra el Covid, debería dar positivo al examen de Igg e Igm? 
@jmanalich
 @sebasugarte
 @DrEnriqueParis
 @pdazan
 @izkia
  #COVID19 #VacunaCOVID19 #YoMeVacuno",1
3044,cristianvalescuela,@cristianvalescu,2021-02-04,"La vacuna contra el NuevoOrdenMundial no está en la conspiranoia ni en el individualismo, sino en la educación y la acción colectiva.
#YoCreoEnLaCiencia 
#YoNoCreoEnLosGobiernos 
#YoMeVacuno contra el covid y las teorías conspirativas",1
3045,Sun,@Sunshine_H_,2021-02-04,Tengo 43 años y ya me dicen abuela...tanto color! #YoMeVacuno,1
3046,christian olavarria,@chris_orl,2021-02-04,Con toda esta tremenda polémica de las vacunas a mí también me generó un enorme cuestionamiento:        ¿La foto me la saco justo antes o después del pinchazo? #YoMeVacuno #VacunaCOVID19 ,1
3047,El Menos Querido,@elmenosqueridoh,2021-02-04,"""si me voy a hacer un PCR y doy positivo por la nariz y negativo por el culo, ¿que soy? ¿una pila?"", 
#YoMeVacuno",1
3048,LUCHO AK7,@LuchoAK7,2021-02-04,"Hay gente que aconseja No vacunarse a los adultos mayores, por eso habrá un % que no se vacunara. #YoMeVacuno",1
3049,Pame,@SoaPam3,2021-02-04,"A mí me da una envidia ver las fotos de sus abuelitos y abuelitas vacunándose 
 #YoMeVacuno",1
3050,José Miguel León U.,@JLeoon89,2021-02-04,"De la técnica de administración de vacunas, no recuerdo a los cuantos minutos se debe compartir la foto 
#YoMeVacuno",1
3051,CSTorrejon,@CSTorrejon,2021-02-04,"Nuestros profesionales han recibido ya las dosis de #VacunaCOVID19 y damos las gracias a quienes lo han hecho posible.Deseando empezar pronto a vacunar a nuestra población.A pesar de todo #mascarillas,#DistanciamientoSocial y #LavadoDeManos. #YoMeVacuno 
@Andavac_
 @SaludFamiliasHu",1
3052,Ro,@R0,2021-02-04,"Yo también me quiero alumbrar con el comprobante de que me vacuné.
Pero falta que pase todo Chile antes que me toque
#YoMeVacuno",1
3053,Tata Colores ^,@jimmy79129191,2021-02-04,"Los tatas, estamos dando ejemplo de civilidad. Llegando antes de la hora, respetuosos, amables y ordenados. 

Nada que ver con las nuevas generaciones.
#YoMeVacuno",1
3054,Pato,@patodiax,2021-02-04,En qué brazo hay vacunarse? #YoMeVacuno #VacunasCOVID19,1
3055,Eduardo,@EduardoCarrier,2021-02-04,"Un bus, tiene en promedio 43 asientos. hoy murieron 155 personas x covid, quiere decir q se ""asimila"" a un choque de 3,6 buses en donde no hay sobrevivientes.
El matinal del Minsal sólo ve datos, y hasta ayer, no tenía solución. X suerte llego la vacuna
#CHVNoticias
#YoMeVacuno",1
3056,Lil Nino Michea,@LilMichea,2021-02-04,#YoMeVacuno para que? si ya nos vacunaron hace 30 años ,1
3057,AMARlLLO,@amariIIo1,2021-02-04,"Quien tiene más credibilidad?

#YoMeVacuno 
#ContigoCHV 
Fruna
BacigalupeDr File
26,1 %
Bacigalupe
47,8 %
Salfate
8,7 %
Gemita Bueno
17,4 %
23 votos
·
Resultados finales",1
3058,*Miguel Ángel*,@migueltalka,2021-02-04,"Sin desmerecer el trabajo que hacen los funcionarios de la salud, creo que así como ellos son prioridad para vacunarse, los recolectores de la basura también debiesen ser prioridad N° 1 (se imaginan no nos sacan la basura... queda la cag...) 
#YoMeVacuno 
#NosSiguenVacunando",1
3059,Yolanda MaGo,@yomago80,2021-02-04,"Vacunada de la segunda dosis!! Esperemos que pueda llegar a todos lo más pronto posible 
@harnaulleida
 #VacunaCOVID19 #YoMeVacuno",1
3060,Renate Pinninghoff,@re_pinn,2021-02-04,"Por ahí lei que hay una peor pandemia que el covid: los antivacunas
Csm que es cierto. Por favor dígale a su gente que no hay un chip, que es peor la coca cola que la vacuna, que no le quitarán los remedios en el consultorio,   y qué más era? #YoMeVacuno",1
3061,Marcita,@marciasolisdeo,2021-02-04,"Zapallar: Avanza a etapa 3 con todos los casos que hubo #Minsal 
Iquique y Alto Hospicio: Seguimos en cuarentena, con casos elevados, aunque los que vivamos acá nos cuidemos ""las cuarentenas no durarán más de 1 mes"" ""Las fronteras están cerradas"" 
 #COVID19 #YoMeVacuno",1
3062,Nicolás Espinoza R.,@elnicoespinoza,2021-02-04,"155 fallecidos en las últimas 24 horas por #COVID19, qué pena por la cresta. Por eso #YoMeVacuno.",1
3063,Eduardo,@EduardoCarrier,2021-02-04,"Siento como que en el ""matinal"" del Minsal, se ""normalizaron"" las muertes por covid o no?
#YoMeVacuno 
#CHVNoticias",1
3064,Nicolas Provoste,@NicolasProvoste,2021-02-04,"#YoMeVacuno Esperando el informe del Minsal en 
@CNNChile
 y con sorpresa veo que no lo transmiten, sólo se dedican a buscar y resaltar los errores de la vacunación y no ven que tenemos el privilegio de vacunas que otros países ven de lejos",1
3065,VirMo,@VirInmantada,2021-02-04,"Ayer segunda dosis de vacuna
 y luego turno de noche 
 Así no sabré si la que tengo liada es por los efectos secundarios o los efectos ""noctámbulos"" 
#yomevacuno
#Covidveteya",1
3066,SureñaEnElNorte,@Taurina_deAbril,2021-02-04,"155 fallecidos! 
#COVID19 
#YoMeVacuno",1
3067,Luna Alarcón Merino,@lunilunini,2021-02-04,"Mi abuela ya se vacuno y estamos demasiado felices 
 al fin estamos avanzando en esta realidad!
No más pandemia por favor #YoMeVacuno",1
3068,César Aguilar Sapiain,@c_aguilars,2021-02-04,"#24tarde mientras la región metropolitana avanza por la desconcentración de la población que sale de vacaciones, las regiones siguen aumentando. #covid19chile #YoMeVacuno",1
3069,Don Rena,@donrenatos,2021-02-04,"Los 281 mil inoculados del ministro son desde el 25/12. Falta muuuuucho. Buen trabajo de los #CESFAM , hasta que se acaben las vacunas. #YoMeVacuno",1
3070,Fabiola López,@fabilopez03,2021-02-04,"Mi abuela tiene 90 años. Mi tía intentó que la fueran a vacunar a la casa, y del consultorio le respondieron
- ¿ella camina?
- ehh, sí, un poco
- entonces no vamos a domicilio
#YoMeVacuno",1
3071,Daniel Silva,@TV_DanielS,2021-02-04,Hasta esta hora se han vacunado 48.274 adultos mayores entre 87 y 89 años. ¡¡Vamos que se puede!! En total hay 281.301 personas vacunadas en Chile. Agradecimiento al personal de salud y municipal que sigue haciendo esfuerzos encomiables por todos nosotros. #yomevacuno,1
3072,zmí.,@zmialazka,2021-02-04,"Con el temita de la Vacuna, ahora los del oficialismo quieren quedar como salvadores de chile y buenos samaritanos, salten pal' lao malditos de mierdas ... #YoMeVacuno",1
3073,Anto Guevara,@anto_guevarita,2021-02-04,"Ambos tatas vacunados 
 #YoMeVacuno",1
3074,Claudia Villalobos,@Clauvillalobos7,2021-02-04,"Viva la Ciencia!..una maravilla que existan las vacunas.
#YoMeVacuno",1
3075,Francisco,@fescud,2021-02-04,"Consulta soy técnico de atención clientes en telecomunicaciones, según calendario me corresponde el día 8 verdad? #Yomevacuno",1
3076,Adolfo Solis Sanchez Concejal por San Miguel,@Adolfozky,2021-02-04,"Vamos a hacerla corta
En mi Juventud tomé del peor agua ardiente y no me paso nada, eso creo. Por lo mismo  
#YoMeVacuno",1
3077,Natalia Salas Tejada,@nsalas_t,2021-02-04,"Donde están vacunado hoy al personal de salud en viña del mar? #YoMeVacuno 
@SaludSsrv
 
Ayer fui pero no estaban vacunando a personal de salud que no fuera de ese centro aún ( fui a dos) 
@pdazan",1
3078,Gabriela #provacuna,@gjruedlingere,2021-02-04,Nunca está de mas recordar que los que antivacunas son un PELIGRO PÚBLICO #YoMeVacuno,1
3079,Jess,@jnicolethxr,2021-02-04,"Es sencillo: si le importas, no se aleja.
#FelizJueves #YoMeVacuno",1
3080,Juan Carlos Mejias,@juanky_007,2021-02-04,"#YoMeVacuno #Covid_19 #ProtegeteYProtegeALosDemas hoy 2 dosis , de momento sin efectos secundarios, tengo sensación de alivio personal, pero no bajaré la guardia. Sigamos siendo responsables por favor, se lo debemos a 60.000 que ya no están.",1
3081,Rodrigo Osses,@RodrigoOsses12,2021-02-04,"Que gran ejemplo están dando nuestros adultos mayores, con alegría, entusiasmo y esperanza poniéndose la vacuna. 
Y existen algunos pelotudos que todavía creen que todo esto es un montaje.
Las generaciones posteriores nos falta mucho por aprender de ellos.
#YoMeVacuno",1
3082,Gabriela Crisóstomo,@gcrisostomoz,2021-02-04,Tremendo ejemplo que nos están dando nuestros adultos mayores...me emociona verlos! Sé que no ha sido todo perfecto pero en general creo que ha sido un proceso exitoso #VacunaCOVID19 #VacunaAdultosMayores #YoMeVacuno,1
3083,Claudia Isla,@claudia_isla,2021-02-04,"Sueño con nuestro próximo otoño 
 lleno de los abuelos en las calles viendo las hojas caer 
#YoMeVacuno #covid #optimismo!!!
@caroescobartv
 @gonzaloramirex
 
(.... y que pueda vuelvor a trabajar mi naniii
 )",1
3084,Leo,@Leonelc24,2021-02-04,"Y tú, te vacunarás?

 #YoMeVacunoSi
80 %
No
20 %
5 votos
·
Resultados finales",1
3085,marioly55,@mcolinal,2021-02-04,#YoMeVacuno felicitaciones a la Muni de Villa Alemana este alcalde si se preocupa de su gente....,1
3086,CRISTINA OPAZO A.,@CRISTHY2014,2021-02-04,"#24Tarde un agrado saludarte 
@dondavor
 desde Temuco con un calor de miedo....q tengas una buena tarde...#YoMeVacuno",1
3087,Juan Guillermo DY,@juanoxd,2021-02-04,"Se ha visto que el proceso de vacunación en general ha sido ""bueno""... Pero quedó en evidencia la pésima gestión de ciertos centros de salud y sus respectivos municipios. Incapaces de prever y llegar organizados para cumplir el calendario de vacunación. #YoMeVacuno",1
3088,María Graciela Henríquez,@maryghenriquez,2021-02-04,Estoy ansiosa...me quiero vacunaaaaar #YoMeVacuno,1
